Activity Type,Date,Favorite,Title,Place,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,10/3/2024 20:03,FALSE,Strength,Unknown,0,372,0:58:27,138,163,--,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,25,1,No,0:58:27,1,NaN,--,--,--,--,--,--,--,--,0:58:27,0:58:29,--,--
Treadmill Running,10/3/2024 19:51,FALSE,Cardio,Unknown,1.49,108,0:11:42,160,177,--,137,231,7:52,5:19,--,--,0.92,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:55.2,2,NaN,--,--,--,--,--,--,--,--,0:10:58,0:11:42,--,--
Strength Training,10/1/2024 7:26,FALSE,Strength,Unknown,0,442,1:01:03,151,187,--,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,17,1,No,1:01:03,1,NaN,--,--,--,--,--,--,--,--,1:01:03,1:01:05,--,--
Strength Training,9/30/2024 9:12,FALSE,Strength,Unknown,0,337,0:44:03,150,170,--,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:44:03,1,NaN,--,--,--,--,--,--,--,--,0:44:03,0:44:03,--,--
Treadmill Running,9/30/2024 8:59,FALSE,Cardio,Unknown,1.71,68,09:34.4,133,167,--,167,225,5:36,4:54,--,--,1.07,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,03:52.4,2,NaN,--,--,--,--,--,--,--,--,0:09:34,09:34.4,--,--
Strength Training,8/8/2024 10:44,FALSE,Strength,Unknown,0,251,0:48:20,139,166,2.9,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,8,1,No,0:48:20,1,NaN,--,--,--,--,--,--,--,--,0:48:20,0:48:20,--,--
Cardio,8/8/2024 10:22,FALSE,Cardio,Unknown,0,140,0:19:51,154,184,3.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:19:51,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:19:51,--,--
Strength Training,8/6/2024 9:10,FALSE,Strength,Unknown,0,253,0:51:08,133,162,2.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,9,1,No,0:51:08,1,NaN,--,--,--,--,--,--,--,--,0:51:08,0:51:08,--,--
Strength Training,8/5/2024 8:12,FALSE,Strength,Unknown,0,264,1:07:28,119,154,2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,1:07:28,1,NaN,--,--,--,--,--,--,--,--,1:07:28,1:07:28,--,--
Strength Training,8/3/2024 9:37,FALSE,Strength,Unknown,0,133,0:19:26,146,165,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:19:26,1,NaN,--,--,--,--,--,--,--,--,0:19:26,0:19:26,--,--
